,title,disciption,Imdb_rating,genres,Released_date,image_url,thombnil_url,webpage_url
0,Maheshum Marutiyum,"In 1983, Mahesh's father Padmanabhan, who was working in Delhi, returned to his hometown of Churuhonni Thirut, surrounded by water on all four sides, with a new Maruti car.(That Maruti 800 was an iconic car). From there the emotional connection with the car and the hero (Mahesh) reaches a new dimension. Whatever happens in Mahesh's life, Maruti Cars has a significant role to play.",IMDb 5.3,Comedy·Romance,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/a5965cbe8b3d360b0f1bccff59e4978197b58fc9ae3ac6fab2c9f703403d7131._RI_V_TTW_SX720_FMjpg_.jpg,"https://m.media-amazon.com/images/S/pv-target-images/c2559b747a480d23733c1cc65743d96a23fddd92bb0380274e43efbcef1548bf._UR1920,1080_SX720_FMjpg_.jpg",https://www.primevideo.com/detail/0Q8V31D6C6MRM3XW8P4T9I6O6W/ref=atv_br_def_r_br_c_unkc_1_1
1,Rahul Talks To People,"Rahul talks to people. Then people talk to Rahul. Thus, a conversation happens. Conversation is funny. Audience enjoys therefore. It’s recorded on camera and mic. Then edited. Now you are watching. Please watch. There is nothing valuable in this description.",IMDb 7.2,Comedy,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/cc3e67a2c60fcc69955465138af1c6c10534daf8d79543840da62d574920bc80._RI_V_TTW_SX720_FMjpg_.png,"https://m.media-amazon.com/images/S/pv-target-images/e325db9baa984178736a4ba478af4bf36aceb1f7196ec1003a0b0f2f9e4b707b._UR1920,1080_SX720_FMjpg_.jpg",https://www.primevideo.com/detail/0I2ET4A3FLUF8NJRU26JKAYEZM/ref=atv_br_def_r_br_c_unkc_1_2
2,Thank God,"An egoistic real estate broker in huge debts meets with an accident. As he gains consciousness, he realizes that he is in a game show. CG appears in front of him and informs him that he will have to play a “GAME OF LIFE”.",IMDb 5.6,Comedy·Drama·International·Fantasy,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/f23f76bb983c619ea2e3293ced23546ed593846fa322b6472b41ee8e6c82ab8c._RI_V_TTW_SX720_FMjpg_.png,"https://m.media-amazon.com/images/S/pv-target-images/b06a04dd5aaaa7fc2c73bd5daaeb5895adce5d10ba4ea5bda58ec7cdc8970e8c._UR1920,1080_SX720_FMjpg_.jpg",https://www.primevideo.com/detail/0R36EFFNE3NAX3JD5LVCL2PVWW/ref=atv_br_def_r_br_c_unkc_1_3
3,Gold (Hindi),"Joshi, a mobile shop owner, gets surprised when he discovers a truck filled with gold bars parked in front of his shop. Lured by greed, Joshi then conceives a plan to use this treasure for his advantage.",IMDb 4.6,Suspense·Comedy·Drama·International,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/dc4cae013d5c23de2a371ef3cc0cd3b344b7f9083c619fc9c92cc4f3e9684d2c._RI_V_TTW_SX720_FMjpg_.jpg,"https://m.media-amazon.com/images/S/pv-target-images/f230be1033aeac39097b462d4e64a7848b81e38d550fff73c37948a6ce8f56b8._UR1920,1080_SX720_FMjpg_.jpg",https://www.primevideo.com/detail/0KMROWFOPA42E6ZLPSLZHL2WJS/ref=atv_br_def_r_br_c_unkc_1_4
4,Single Shankarum Smartphone Simranum,A frustrated food delivery boy gets a super intelligent AI phone which has all the emotions of a girl. It changes his life completely when it starts falling in love with him,IMDb 4.5,Comedy·Drama,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/b790f2c7877868082457ab5b1362e7219eafd9097f45c9f42291ea5ac6d87bd1._RI_V_TTW_SX720_FMjpg_.png,"https://m.media-amazon.com/images/S/pv-target-images/54e39f37faf24b1949aae96d19f39306cb91f4979aa93f73756c106f45ac2eda._UR1920,1080_SX720_FMjpg_.jpg",https://www.primevideo.com/detail/0IQ1XHOGCTVGHFYNKT5OHDMURI/ref=atv_br_def_r_br_c_unkc_1_5
5,Woh 3 Din,"Woh 3 Din is a Hindi movie released on 30 Sep, 2022. The movie is directed by Raaj Aashoo and featured Sanjay Mishra, Rajesh Sharma, Chandan Roy Sanyal, and Rakesh Srivastava as lead characters. Other popular actors who were roped in for Woh 3 Din are Purva Parag and Payel Mukherjee.",IMDb 4.3,Comedy·Drama,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/80586230905fc73db73f7126f99980dfae129f0a7916541c7885ef92cfe8e3d3._RI_V_TTW_SX720_FMjpg_.png,"https://m.media-amazon.com/images/S/pv-target-images/38a230d100571696814642c84574e26a000ceb477099ee71fdba649070a97714._UR1920,1080_SX720_FMjpg_.jpg",https://www.primevideo.com/detail/0N98GNCAZNI65HBK80KV0A22FR/ref=atv_br_def_r_br_c_unkc_1_6
6,Hondisi Bareyiri,"A story of a bunch of college friends who reunite after many years. It focuses on their college life, leading to the responsibilities of adulthood and their struggle to find solace amidst their complex relationships.",IMDb 7.6,Comedy·Drama,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/da8b744ccd7f9714dab1e36e372674b585bf5133377fb85a19b3d4bbc10bce8f._RI_V_TTW_SX720_FMjpg_.jpg,"https://m.media-amazon.com/images/S/pv-target-images/ffb93fe1d852075e404a96126a99d78add136c29a54a86308a8f1513bebe95be._UR1920,1080_SX720_FMjpg_.jpg",https://www.primevideo.com/detail/0H9IREF9AZMGPWLXPXBV7YG4Q2/ref=atv_br_def_r_br_c_unkc_1_7
7,Prema Desam,"Premadesam is a hyperlinked story, Urban ROM-COM and an Emotional drama. Two Love Stories! Four Lives! Two Problems- One Solution! - One Incident! Did that incident cleared their problems? Or created more difficulties?",None,Comedy·Drama,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/e505a5070bc70ea3e2c1535edede3420c93863067e149a741c41821948ed649f._RI_V_TTW_SX720_FMjpg_.jpg,"https://m.media-amazon.com/images/S/pv-target-images/8353accee0eca2ecc23afd85f3fc71d47a354b194e3c263d08531754d86da3c2._UR1920,1080_SX720_FMjpg_.jpg",https://www.primevideo.com/detail/0SSYWY3Z0QQDLFZA6419EAIDQ6/ref=atv_br_def_r_br_c_unkc_1_8
8,JugJugg Jeeyo,"“JugJugg Jeeyo” is a story set in Patiala that’s about love, laughter, colour and drama. After a lifelong friendship and a 5 year marriage, Kuku and Naina need to tell their family that they want a divorce. However, Kuku’s parents, Bheem and Geeta have other plans set in store for them; all this amidst his sister’s wedding. It’s about family, values, unresolved yearnings and unexpected reunions.",IMDb 6.1,Comedy·Drama·International,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/742e553627876176b7a4fc7215d711bd51b3177eb68aa4c34ff3df32bf686ff0._RI_V_TTW_SX720_FMjpg_.png,"https://m.media-amazon.com/images/S/pv-target-images/66cf7e91c6a81325d075fc87978537b45236098b000576d37887ff78b056b25f._UR1920,1080_SX720_FMjpg_.jpg",https://www.primevideo.com/detail/0GYK9GKLR70SJPOJV2C6X2N58N/ref=atv_br_def_r_br_c_unkc_1_9
9,Phone Bhoot,"Two crazy, jobless, horror-film addicts Major and Gullu, under immense family pressure to find work, hit upon the idea to float a unique ghost-capturing service when they meet a e spirit, Ragini, who makes their business a success but in return asks them for a favour which they are compelled to honour.",IMDb 5.3,Horror·International·Comedy,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/ff546b450c279892006ce10ad088344ad2416459321765c09e7d9591d949c0da._RI_V_TTW_SX720_FMjpg_.jpg,"https://m.media-amazon.com/images/S/pv-target-images/e20bb950722cb7d502b06eec992b3d15186ccaddc61595f8b67b1a81941ad32c._UR1920,1080_SX720_FMjpg_.jpg",https://www.primevideo.com/detail/0Q4AC6SKJX7EY2GHJFHLZMQ1XZ/ref=atv_br_def_r_br_c_unkc_1_10
