,title,disciption,Imdb_rating,genres,Released_date,image_url,thombnil_url,webpage_url
0,Dada,"Manikandan and Sindhu are in love and accidentally becomes teenage parents. They face obstacles and situations to bring up their son, Adithya.",IMDb 8.2,International·Drama·Romance,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/e3df8767b35ac8b8811aa766b868a90e32a713cbc219cf36bf044cc51932a3f6._RI_V_TTW_SX720_FMjpg_.jpg,"https://m.media-amazon.com/images/S/pv-target-images/0418b614897f03c73ebb9fe5e43a0f51d6d7774a570b3c63a51d87734ad1140d._UR1920,1080_SX720_FMjpg_.jpg",https://www.primevideo.com/detail/0R217Y1Q451WCBPMHE8BA2SKPJ/ref=atv_br_def_r_br_c_unkc_1_1
1,Maheshum Marutiyum,"In 1983, Mahesh's father Padmanabhan, who was working in Delhi, returned to his hometown of Churuhonni Thirut, surrounded by water on all four sides, with a new Maruti car.(That Maruti 800 was an iconic car). From there the emotional connection with the car and the hero (Mahesh) reaches a new dimension. Whatever happens in Mahesh's life, Maruti Cars has a significant role to play.",IMDb 5.3,Comedy·Romance,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/a5965cbe8b3d360b0f1bccff59e4978197b58fc9ae3ac6fab2c9f703403d7131._RI_V_TTW_SX720_FMjpg_.jpg,"https://m.media-amazon.com/images/S/pv-target-images/c2559b747a480d23733c1cc65743d96a23fddd92bb0380274e43efbcef1548bf._UR1920,1080_SX720_FMjpg_.jpg",https://www.primevideo.com/detail/0Q8V31D6C6MRM3XW8P4T9I6O6W/ref=atv_br_def_r_br_c_unkc_1_2
2,Sita Ramam,"Afreen, a rebellious Pakistani student sets ablaze the car of an Indian in London. Refused to apologize, Afreen is asked to return 1 Million in 1 month. Angered Afreen comes back to Pakistan to get the money from her grandfather. The late grandfather assigns a letter delivering task to Afreen, written by Ram to Sita. Afreen sets out to find Ram and gradually unveils the story of Sita and Ram.",IMDb 8.6,Action·Drama·International·Romance,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/2401cf4d180e85caaadc4295c9e9d70488b6869fda52bfbb6cc2530ca174537f._RI_V_TTW_SX720_FMjpg_.jpg,"https://m.media-amazon.com/images/S/pv-target-images/cb63b2bf1e1e4df8aeb7912fb5029a8a8e82a36e0c28f512199975f7a62ae112._UR1920,1080_SX720_FMjpg_.jpg",https://www.primevideo.com/detail/0G2G9F9BZAJUW8XZ2RQ5N3MRBS/ref=atv_br_def_r_br_c_unkc_1_3
3,Love Birds,"Couples today come from different backgrounds and have independent lifestyles. But their independence leads to friction between them, what will keep them together?",IMDb 5.4,International·Drama·Romance,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/2a7f231d617ad220e83f6caf8f76ed8980910db0440580200333b795b2f393d6._RI_V_TTW_SX720_FMjpg_.jpg,"https://m.media-amazon.com/images/S/pv-target-images/999792e51bba171c29b3fa317c520aee22ea18232ce5380dc0c20c33e44abb0c._UR1920,1080_SX720_FMjpg_.jpg",https://www.primevideo.com/detail/0RMYLULVR8F9ZBB6BH7UIVAUUF/ref=atv_br_def_r_br_c_unkc_1_4
4,Padmaavat,"Set in 1303 AD medieval India, Padmaavat is the story of honor, valor and obsession. Queen Padmavati is known for her exceptional beauty along with a strong sense of justice and is the wife of Maharawal Ratan Singh and pride of the Kingdom of Chittor, a prosperous kingdom in the north west of India. The legend of her beauty reaches the reigning sultan of Hindustan – Allaudin Khilji.",IMDb 7.0,Romance·International·Ambitious·Emotional,2018,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/f896e234c1fa1b4c7b9391b3a56863b5519e82758052cf287074a5c8f42a3f5b._RI_V_TTW_SX720_FMjpg_.jpg,"https://m.media-amazon.com/images/S/pv-target-images/cf589afbbb89d82d2b729ce0e260ac32b5ad03cb19020ff70d8ed1c3eceb9339._UR1920,1080_SX720_FMjpg_.jpg",https://www.primevideo.com/detail/0LCQGVFVLNI8MOOGAT6T4611H2/ref=atv_br_def_r_br_c_unkc_1_5
5,Sonu Ke Titu Ki Sweety,"Sonu and Titu are childhood friends. Titu has always been a naive lover, who falls in love easily and Sonu has always had to step in to save him. But Sweety is the perfect bride and Titu is head over heels in love with her. Sonu's instinct to protect Titu at whatever cost, makes him feel that she's too good to be true.",IMDb 7.1,Comedy·International·Emotional·Joyous,2018,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/7c422ea2593c42ab2135eb2018f0adf612b4b869f9c7981ce35da40fcb4d7fe8._RI_V_TTW_SX720_FMjpg_.jpg,"https://m.media-amazon.com/images/S/pv-target-images/dfb788acd0dcbd94cdfd66b3553ae94fc1dcbede3fe2d63f7dc6d26b3197a118._UR1920,1080_SX720_FMjpg_.jpg",https://www.primevideo.com/detail/0N0EXSVCF16I1DIFSE16VHEXM0/ref=atv_br_def_r_br_c_unkc_1_6
6,Dilwale Dulhania Le Jayenge,"When Raj (Shahrukh Khan) & Simran (Kajol) first met on an inter-rail holiday in Europe, it wasn’t exactly Love at first sight but when Simran is taken back to India for an arranged marriage, things change. Encouraged by his father Dharamvir (Anupam Kher), Raj decides to fly down from London to not just win his Bride but her whole family and the blessings of her father Baldev Singh (Amrish Puri).",None,Romance·International·Gentle·Passionate,1995,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/2cb055aedbfe9cd4e077486b4a4dd03de2167c7de15da8a37efcf5c1e730b335._RI_V_TTW_SX720_FMjpg_.jpg,"https://m.media-amazon.com/images/S/pv-target-images/ddff52bf9c8cfaf6ad029644289c0cd71059f0417582a14226919a4551604627._UR1920,1080_SX720_FMjpg_.jpg",https://www.primevideo.com/detail/0FWM6LXBGLJP0XQDQYPI9H4PMH/ref=atv_br_def_r_br_c_unkc_1_7
7,One Night Stand,A married man becomes infatuated with a woman who he has a one-night stand with after meeting her on a business trip. His obsession with his mistress threatens to uproot his marriage and everyday life.,IMDb 3.1,International·Drama·Bleak·Passionate,2016,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/dafc1c2c65968fddac6ecd16ff19b3d9b9ef0c0ddd3c2aa7ef9227a453fb5a6b._RI_V_TTW_SX720_FMjpg_.jpg,"https://m.media-amazon.com/images/S/pv-target-images/dafc1c2c65968fddac6ecd16ff19b3d9b9ef0c0ddd3c2aa7ef9227a453fb5a6b._UR1920,1080_SX720_FMjpg_.jpg",https://www.primevideo.com/detail/0R1DH7221J6EZWITC0PSK6EMFJ/ref=atv_br_def_r_br_c_unkc_1_8
8,Ae Dil Hai Mushkil,"In this romantic drama, a popular singer Ayan Senger (Ranbir Kapoor) recounts his turbulent relationship with Alizeh Khan (Anushka Sharma) during an interview based on the love of his life. He reminisces about their chance meeting in London, their troubled, unrequited love, his personal growth over the years and how this relationship shaped his destiny.",IMDb 5.8,Romance·International·Emotional·Gentle,2016,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/be44f38f582015fba682760d53f1f1fb540865e9285d7745a2076f3f29bcca50._RI_V_TTW_SX720_FMjpg_.jpg,"https://m.media-amazon.com/images/S/pv-target-images/5a1d21aba7d686467041759f38b2dd007814545e653acb5ff3ec20c5a470e165._UR1920,1080_SX720_FMjpg_.jpg",https://www.primevideo.com/detail/0P9D7JMQ1NDU3P9V32JI39DJAI/ref=atv_br_def_r_br_c_unkc_1_9
9,Jab We Met,"The adversities of Aditya's business and love life bring him on the verge of committing suicide. One day, wandering aimlessly, he boards a train and bumps into Geet, a lively and talkative Punjabi Sikh girl, and just like that, without any inkling, Aditya's life changes forever.",IMDb 7.9,Comedy·Drama·Gentle·Passionate,2007,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/0e3da645e07ccd1028d50d9a7ce5ef3189ba8aa7b3838b154be35b50542de7b6._RI_V_TTW_SX720_FMjpg_.jpg,"https://m.media-amazon.com/images/S/pv-target-images/163503ad41f02dbe2a142e85004bfc079988dd53d2808491bdd4791f25e6ae8c._UR1920,1080_SX720_FMjpg_.jpg",https://www.primevideo.com/detail/0IZIGS3J12SA8YI4UQQT2OS4WY/ref=atv_br_def_r_br_c_unkc_1_10
