,title,disciption,Imdb_rating,genres,Released_date,image_url,thombnil_url,webpage_url
0,The Boss Baby,"The Boss Baby is a hilariously universal story about how a new baby's arrival impacts a family, told from the point of view of a delightfully unreliable narrator, a very imaginative 7-year-old named Tim. With a sly, heart-filled message about the importance of family, The Boss Baby is an original, broadly appealing comedy for all ages.",IMDb 6.3,Comedy·Animation·Imaginative·Exciting,2017,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/f3d6be7f5b1caa9638b231fa334b776e2d25b45d12c979e151d25fd9b77b7d09._RI_V_TTW_SX720_FMjpg_.jpg,"https://m.media-amazon.com/images/S/pv-target-images/2f5609e13bbf3ce9222570c42bb7cd6bf0836b50505645a476d927b6ae106d04._UR1920,1080_SX720_FMjpg_.jpg",https://www.primevideo.com/detail/0NHHVWJOCC3LSSK23856UBOZZW/ref=atv_br_def_r_br_c_unkc_1_1
1,The Boss Baby 2: Family Business,"To stop a dastardly plot to turn the world's babies into brats, it'll take more than one Boss Baby & the entire Templeton family to join up for a wildly outrageous adventure!",IMDb 5.9,Comedy·Animation·Dreamlike·Joyous,2021,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/90f492bfa0c44160c54c9a48c30205c181145275641c2ece01b9bbf5650cf044._RI_V_TTW_SX720_FMjpg_.png,"https://m.media-amazon.com/images/S/pv-target-images/e2560a1ee1ecca4454ba3d0b131fb97ad3711bcabd8a08bc2622b678dc51de06._UR1920,1080_SX720_FMjpg_.jpg",https://www.primevideo.com/detail/0PGVJVF04OM21GHZB2J5ADQVEU/ref=atv_br_def_r_br_c_unkc_1_2
2,The Angry Birds Movie 2,The flightless birds and scheming green pigs take their beef to the next level.,IMDb 6.4,Comedy·Animation·Joyous·Sweet,2019,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/baf6bd30667eb77d59c8b4d42de42516723d665da73c89eb7b74ab1b94681607._RI_V_TTW_SX720_FMjpg_.jpg,"https://m.media-amazon.com/images/S/pv-target-images/fc75f771d3e5dc4020ca68be2d6eae466c257edaf8910d7412ae6e265d676380._UR1920,1080_SX720_FMjpg_.jpg",https://www.primevideo.com/detail/0I1G1YB2595PCVOFMFJT5VSRWP/ref=atv_br_def_r_br_c_unkc_1_3
3,Minions: The Rise of Gru,"Teenage Gru joins forces with Kevin, Stuart and Bob to defeat the Vicious 6 in an adventure featuring spectacular action and the franchise's signature subversive humor.",IMDb 6.5,Animation·Science Fiction·Comedy·Adventure,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/820f9464dea9c27924c61b17f1fc528280ae87d7bc2c2a4b463b7ee2ce84f7be._RI_V_TTW_SX720_FMjpg_.png,"https://m.media-amazon.com/images/S/pv-target-images/b8da465baa6b4d57b8c7c95cd3ac6fd53d23bdd795cf0e7fd4f73aca8cb65a63._UR1920,1080_SX720_FMjpg_.jpg",https://www.primevideo.com/detail/0M8XF0N90720K3TSPY1GT1FOAT/ref=atv_br_def_r_br_c_unkc_1_4
4,The Angry Birds Movie,"In this clever animated comedy, meet Red, Chuck and Bomb, a team of unlikely heroes, and finally learn why the birds are so angry!",IMDb 6.3,Comedy·Kids·Biting·Exciting,2016,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/4f90fe436dc5270f6d3efc4fcb5c7e0e9a603fb6b72a4f13289c30195dc07a7a._RI_V_TTW_SX720_FMjpg_.jpg,"https://m.media-amazon.com/images/S/pv-target-images/db9996184b2e7582d0794339b1f711fae9a86784e00ccecc01fca79f348b1388._UR1920,1080_SX720_FMjpg_.jpg",https://www.primevideo.com/detail/0TZX3YU86BT45IZ58VI6FD2V74/ref=atv_br_def_r_br_c_unkc_1_5
5,Minions,A clever Minion hatches a plan to find his masterless brethren someone new to serve.,IMDb 6.4,Science Fiction·Comedy·Cheerful·Sweet,2015,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/eab44fd3460e23856ff86fa63e4822f6a42dece77871a45d246353555dda33dd._RI_V_TTW_SX720_FMjpg_.png,"https://m.media-amazon.com/images/S/pv-target-images/b5b82fa183bf0c371f6ef879d64813d3e74637b64144367ec1dca080749caca1._UR1920,1080_SX720_FMjpg_.jpg",https://www.primevideo.com/detail/0SKRV1X21JOIO781YAVF8BP7GT/ref=atv_br_def_r_br_c_unkc_1_6
6,None,"When Van Helsing’s mysterious invention goes haywire, Drac and his pals are transformed into humans and Johnny becomes a monster! In their new mismatched bodies, Drac and Johnny must team up to find a cure. With help from Mavis and the Drac Pack, the heat is on to find a way to switch themselves back before their transformations become permanent.",IMDb 6.0,Comedy·Animation·Horror·Fantasy,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/15781ca7f39a84ba27e7d1295ca952726d5fe08b9f9075f1d1ba8f7725ec57b8._RI_V_TTW_SX720_FMjpg_.png,"https://m.media-amazon.com/images/S/pv-target-images/37c0ee45f7cf3b86069f3ae1f023fe9be5513e6540d59ead9e709ab8f287c53d._UR1920,1080_SX720_FMjpg_.jpg",https://www.primevideo.com/detail/0GD02T4MAIDMK8CLRN1HT2ZHW8/ref=atv_br_def_r_br_c_unkc_1_7
7,PAW Patrol: The Movie,"The PAW Patrol is on a roll…in their first big-screen adventure! With help from a new pup, Liberty, the PAW Patrol fights to save the citizens of Adventure City from their rival, Humdinger. Can the PAW Patrol save the city before it's too late?",IMDb 6.1,Science Fiction·Comedy·Cheerful·Fantastic,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/c58d6e9050e34b811d00404a439925c2fb913223cb736997ee339e905bb2a9a7._RI_V_TTW_SX720_FMjpg_.png,"https://m.media-amazon.com/images/S/pv-target-images/6ac21d4a469c01d55568f17864c6b489500bb5e8dd94758f54ba9c54ac2f077e._UR1920,1080_SX720_FMjpg_.jpg",https://www.primevideo.com/detail/0KDMF7G7KIFB6RVGJDWZZTDNO6/ref=atv_br_def_r_br_c_unkc_1_8
8,The Secret Life of Pets,"Find out what your pets do when you’re not at home in this animated comedy featuring the voice talents of Louis C.K., Eric Stonestreet, and Kevin Hart.",IMDb 6.5,Comedy·Animation·Charming·Exciting,2016,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/31e7e7709d45037c2448ec2e4a9ea795bcc5b1be792cf41017035b676828c85b._RI_V_TTW_SX720_FMjpg_.png,"https://m.media-amazon.com/images/S/pv-target-images/7fb51476c13dab119c9ad222c30cda48edf85c552002e611e1758896e0185da8._UR1920,1080_SX720_FMjpg_.jpg",https://www.primevideo.com/detail/0SGK09IBH6VRP5Q5GGV1A9NTMF/ref=atv_br_def_r_br_c_unkc_1_9
9,Tom and Jerry: The Movie,"Tom and Jerry are left homeless after their families move away without them. Alone in the real world, the two friends get advice from a streetwise dog and his wisecracking friend then team up with an eight-year-old orphan girl. Now chased by the orphan's evil aunt, alley cats, animal catchers and crazy kidnappers, Tom and Jerry use all the lovable tomfoolery they know to rescue their new friend.",IMDb 5.4,Animation·Adventure·Charming·Joyous,1993,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/87f8183de85f22515d394b2d6fd07b790573be6d00ee130ed539867da0df543a._RI_V_TTW_SX720_FMjpg_.jpg,"https://m.media-amazon.com/images/S/pv-target-images/4888aa10c1340d6a1baf26c1050fb9f78890dec6e8f4cf1b3fd9697a8fe271e9._UR1920,1080_SX720_FMjpg_.jpg",https://www.primevideo.com/detail/0PUSKSORKP42IF22YWDQIWPB27/ref=atv_br_def_r_br_c_unkc_1_10
